100,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proceso de fisión nuclear","Ilustra el proceso de fisión llevado a cabo en los reactores de generación eléctrica","Proceso de fisión nuclear.jpg",,,,,16
101,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Descripción de la energía nuclear","Muestra en forma resumida los datos de las variables caracteristicas para la generación de energía eléctrica mediante el proceso de la fisión nuclear","Descripción de la energía nuclear.jpg",,,,,16
102,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Capacidad instalada de energía nuclear (GW)","Muestra el crecimieto de la capacidad instalada en varias regiones del mundo en los últimos 25 años","Capacidad instalada de energía nuclear.jpg",5,,,,
103,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Capacidad instalada de energía nuclear (GW)","Muestra el crecimieto de la capacidad instalada en varias regiones del mundo en los últimos 25 años","Capacidad instalada de energía nuclear2.jpg",5,,,,
104,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Evolución de la energía nuclear en el mundo","Muestra el crecimiento de la energía nuclear en todo el mundo","Evolución de la energía nuclear en el mundo.jpg",5,,,,
105,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Capacidad instalada de energía nuclear en el mundo","Muestra la capacidad actual de generación eléctrica mediante la energía nuclear en varios países y la capacidad instalada en cada uno de ellos","Capacidad instalada de energía nuclear en el mundo.jpg",5,,,,
106,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Países latinoamericanos con energía nuclear","Muestra los países latinoamericanos que generan energía eléctrica mediante plantas nucleares y la capacidad instalada en cada uno de ellos","Países latinoamericanos con energía nuclear.jpg",5,,,,
107,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyecciones de la energía nuclear","Proyecciones de crecimiento de la energía nuclear en el mundo, discretizadas por regiones, hasta el año 2025","Proyecciones de la energía nuclear.jpg",5,,,,
108,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyección de crecimiento de la capacidad instalada por región","Proyecciones de crecimiento de la energía nuclear en el mundo, discretizadas por regiones, hasta el año 2026","Proyección de crecimiento de la capacidad instalada por región.jpg",5,,,,
109,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyección de crecimiento de la capacidad instalada en el mundo","Ilustración del crecimiento proyectado de la energía nuclear en el mundo","Proyección de crecimiento de la capacidad instalada en el mundo.jpg",5,,,,
110,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Clasificación energía solar","Aplicaciones de la energía solar para el aprovechamiento en generación de energía","Clasificación energía solar.gif",6,,,,
124,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Tipo de cielo","Describe el registro en potencia de la radiación solar según el tipo de cielo","Tipo de cielo.gif",6,,,,
127,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costo unitario de generación","Costo unitario de generación para celdas fotovoltaicas","Costo unitario de generación.gif",,,17,,
130,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costo unitario de generación cilindro y torre","Costo unitario de generación para sistemas cilindroparabólicos y de torre central","Costo unitario de generación cilindro y torre.gif",,,,24,
131,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costo unitario de generación cilindro y torre","Costo unitario de generación para sistemas cilindroparabólicos y de torre central","Costo unitario de generación cilindro y torre.gif",,,,25,
134,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Mapa de radiación solar - Colombia","Muestra la radiación solar en Colombia","Mapa de radiación solar - Colombia.bmp",6,,,,
135,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Radiación solar anual mundial","Muestra la radiación solar en el mundo","Radiación solar anual mundial.jpg",6,,,,
143,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Esquema cilindro parabólico","Muestra los componentes de un sistema de cilindros parabólicos","Esquema cilindro parabólico.gif",,,,24,
144,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos relativos de los componentes","Muestra los costos relativos de los componentes para cilindros parabólicos y sistemas de torre central","Costos relativos de los componentes.bmp",,,,24,
145,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos relativos de los componentes","Muestra los costos relativos de los componentes para cilindros parabólicos y sistemas de torre central","Costos relativos de los componentes.bmp",,,,25,
150,2005-07-29 00:00:00,"Universidad Nacional-Medellín","Tipos de colectores solares térmicos","Imagen de cada una de las aplicaciones de los colectores soles térmicos","Tipos de colectores solares térmicos.gif",,,16,,
151,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Descripción energía solar – colectores térmicos","Muestra en forma resumida los datos de las variables caracteristicas para los colectores solares térmicos","Descripción energía solar – colectores térmicos.jpg",,,16,,
152,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyecciones de crecimiento – colectores térmicos","Crecimiento esperado por año en MW, un porcentaje anual, para cada una de las tecnologias de colestores solares térmicos","Proyecciones de crecimiento – colectores térmicos.gif",,,16,,
153,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Grado de madurez sistemas colectores térmicos solares","Muestra el grado de grado de madurez de cada una de las tecnologias para los colectores solares térmicos","Grado de madurez sistemas colectores térmicos solares.gif",,,16,,
154,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Perspectivas de competitividad - colectores solares","Describe la posibilidad en porcentaje de reducción de costos para las diferentes tecnologias de colectoressolares térmicos","Perspectivas de competitividad – colectores térmicos.gif",,,16,,
155,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyectos de colectores solares térmicos en el mundo","Presenta un resumen de los proyectos de concentradores solares que se están llevando a cabo a nivel mun","Proyectos de colectores solares térmicos en el mundo.gif",,,16,,
156,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Efecto fotovoltaico","Explicación grafica del efecto fotovoltaico","Efecto fotovoltaico.gif",,,,,19
157,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Descripción energía solar – fotovoltaica","Muestra en forma resumida los datos de las variables caracteristicas para las celdas fotovoltaicas","Descripción energía solar – fotovoltaica.jpg",,,17,,
158,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Crecimiento de la capacidad instalada - fotovoltaica","Muestra la capacidad instalada de celdas fotovoltaicas en el mundo por año (1993-2003)","Crecimiento de la capacidad instalada - fotovoltaica.gif",,,17,,
159,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Perspectivas de competitividad - fotovoltaica","Describe la posibilidad en porcentaje de reducción de costos para las celdas fotovoltaicas","Perspectivas de competitividad - fotovoltaica.gif",,,17,,
160,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Proyección de la capacidad instalada de energías solar térmica para México y Brasil","Capacidad instalada en MW para Mexico y Brasil de colectores solares térmicos","Proyección de la capacidad instalada de energías solar térmica para México y Brasil.gif",,,16,,
162,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos celdas fotovoltaicas","Costos de inversion y operaciones para celdas fotovoltaicas","Costos celdas fotovoltaicas.gif",,,17,,
164,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Proveedores de celdas fotovoltaicas","Principales proveedores de celdas fotovoltaicas","Proveedores de celdas fotovoltaicas.gif",,,17,,
165,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos colectores solares térmicos","Costos de inversion y operaciones para colectores solares térmicos","Costos concentradores solares térmicos.gif",,,16,,
167,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costo unitario de generación disco","Costo unitario de generación para discos parabólicos","Costo unitario de generación disco.gif",,,,26,
168,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Proveedores concentradores solares térmicos","Principales proveedores de concentradores solares térmicos","Proveedores concentradores solares térmicos.gif",,,16,,
169,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Celda, módulo, panel y arreglo","Muestra la composición de un arreglo fotovoltaico","Celda, módulo, panel y arreglo.gif",,,17,,
170,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Solarpark Mühlhausen: 6.3 MW","Fotografía de la central fotovoltaica mas grande construida hasta ahora","Solarpark Mühlhausen 6.3 MW.bmp",,,17,,
171,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos de generación según nivel de radiación","Comportamiento de los costos de operación de la energía solar fotovoltaica, según el monto de la inversión y el nivel de radiación solar","Costos de generación según nivel de radiación.gif",,,17,,
172,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Esquema Central solar fotovoltaica","Muestra los componentes de una central fotovoltaica","Esquema Central solar fotovoltaica.bmp",,,17,,
173,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Esquema sistema de torre central","Muestra los componentes de un sistema de torre central","Esquema sistema de torre central.gif",,,,25,
174,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Esquema disco parabólico","Muestra los componentes de un sistema de disco parabólico","Esquema disco parabólico.bmp",,,,26,
177,2005-08-29 00:00:00,"Universidad Nacional-Medellín..","Disponibilidad mundial de los recursos para la producción de hidrógeno","Presenta las reservas de gas natural existentes en el mundo.","Disponibilidad mundial de los recursos para la producción de hidrógeno.gif",3,,,,
178,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Resumen de los costos de las tecnologías utilizadas para la producción de hidrógeno","Resume los costos asociados a cada una de las tecnologías más utilizadas para la producción de hidrógeno.","Resumen de los costos de las tecnologías utilizadas para la producción de hidrógeno.gif",3,,,,
179,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Tanques de almacenamiento de hidrógeno a altas presiones","Ilustra un prototipo de los tanques a presión utilizados actualmente para almacenar el hidrógeno gaseoso producido.","Tanques de almacenamiento de hidrógeno a altas presiones.bmp",3,,,,
180,2005-08-29 00:00:00,"Universidad Nacional-Medellín..","Tanques de almacenamiento de hidrógeno líquido","Ilustra un prototipo de los tanques utilizados actualmente para almacenar el hidrógeno líquido producido.","Tanques de almacenamiento de hidrógeno líquido.bmp",3,,,,
181,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Estado actual y futuro de las tecnologías de almacenamiento de hidrógeno en términos de peso y volum","Ilustra la capacidad energética volumétrica y gravimétrica de varias de las tecnologías utilizadas para el almacenamiento de hidrógeno.","Estado actual y futuro de las tecnologías de almacenamiento de hidrógeno en términos de peso y volumen.bmp",3,,,,
182,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Esquema general de una celda de combustible","Presenta la estructura general de una celda de combustible","Esquema general de una celda de combustible.bmp",3,,,,
183,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Comparación de los costos de instalación de algunas pilas de combustible","Presenta una comparación entre los costos de instalación de varios tipos de pilas de combustibles","Comparación de los costos de instalación de algunas pilas de combustible.gif",3,,,,
184,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Comparación de los costos de operación de algunas pilas de combustible.","Presenta una comparación entre los costos de operación de varios tipos de pilas de combustibles.","Comparación de los costos de operación de algunas pilas de combustible.gif",3,,,,
185,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Procesos más utilizados en la actualidad para la producción de hidrógeno","Resume las principales vías de obtención de hidrógeno que se utilizan o se estudian en la actualidad.","Procesos más utilizados en la actualidad para la producción de hidrógeno.gif",3,,,,
186,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Características de los procesos más importantes para la producción de hidrógeno a partir de combusti","Describe las características básicas de los procesos más utilizados en la actualidad para la producción de hidrógeno a partir de combustibles fósiles","Características de los procesos más importantes para la producción de hidrógeno a partir de combustibles fósiles.jpg",3,,,,
187,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Características de los procesos de electrólisis más comunes para la producción de hidrógeno","Estudia las principales características de varios métodos que utilizan electrólisis para obtener hidrógeno","Características de los procesos de electrólisis más comunes para la producción de hidrógeno.jpg",3,,,,
188,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Técnicas de almacenamiento del hidrógeno producido","Resume las principales vías para el almacenamiento del hidrógeno que se utilizan o se estudian en la actualidad","Técnicas de almacenamiento del hidrógeno producido.gif",3,,,,
189,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Características de los tipos más importantes de pilas de combustibles","Describe las característiscas fundamentales de las tecnologías más utilizadas en pilas de combustibles.","Características de los tipos más importantes de pilas de combustibles.jpg",3,,,,
